title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio
"Extreme $500,000 Game Of Tag!",I did not expect that to happen at the end... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-09-04 20:00:07+00:00,760,57633714,2774047,99670.0,0.048132365719134464
"Last To Leave Revolving Door Wins $50,000",YOU WON'T BELIEVE WHAT HAPPENS IN THIS VIDEO LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2019-07-02 20:00:01+00:00,824,97585126,2518894,173872.0,0.02581227389100261
"$1,000,000 Influencer Tournament!",That was so close at the end I can't believe that happened!,2021-12-16 21:00:00+00:00,725,34223993,2280759,80603.0,0.06664210689851414
I Got Hunted By The Military,"I'm not sure how they drove over that... it wasnt supposed to happen Sign up using code ""BEASTHUNT"" with current!",2021-12-10 21:30:02+00:00,662,43165039,2416595,90170.0,0.055985006755119575
"Would YOU Quit School For $100,000?",You won't believe what they chose! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-07-10 20:00:09+00:00,694,55202068,2004164,78869.0,0.0363059586825624
"Extreme $100,000 Game of Tag!",I cant believe he actually won.. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2021-04-17 20:00:00+00:00,1014,84989496,2449214,121200.0,0.028817843560338327
I Won Every Prize At A Theme Park,WE WON OVER 10000 STUFFED ANIMALS LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-08-15 19:59:59+00:00,802,90623591,1883897,65304.0,0.020788152171105204
I Ate The World’s Largest Slice Of Pizza,This slice of pizza was expensive... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-08-01 20:00:02+00:00,483,99174289,2642315,125468.0,0.02664314538216654
"Steal This $100,000 Diamond, You Keep It",Do you think you could have done all the levels? New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-11-28 21:00:04+00:00,843,103902204,2471218,92745.0,0.023784076803606592
I Survived 24 Hours Straight In Ice,i borderline went crazy about 17 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-10-29 20:17:44+00:00,694,85113492,2833891,187948.0,0.03329543804876435
"Last To Leave Circle Wins $500,000",THIS WAS THE CRAZIEST THING IVE EVER DONE! Get $10 of Bitcoin when you join Coinbase using my code: ...,2021-08-31 20:01:03+00:00,1166,95809336,3482783,94926.0,0.03635118606813015
"I Bought The World&#39;s Largest Firework ($600,000)",I cant believe i spent this much money on fireworks lol Thanks to Fireworks by Grucci for helping! https://www.grucci.com/ Follow ...,2020-07-03 21:00:20+00:00,669,106594059,3641646,169970.0,0.03416368636454683
I Adopted EVERY Dog In A Dog Shelter,"This is my favorite video i have ever made, it took me 9 months to film. PLEASE DONATE HERE: https://furkids.org/donation/ New ...",2020-07-23 20:00:11+00:00,964,104797858,3343738,190567.0,0.031906549082329524
I Bought A Private Island,"I spent so much money buying this island, please subscribe lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...",2020-08-13 20:00:07+00:00,697,76692327,2751454,127362.0,0.03587652256268088
"I Spent $1,000,000 On Lottery Tickets and WON",I didnt think i was going to win that much... looks like im buying an island New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2020-08-08 20:00:02+00:00,613,58842218,2143711,83396.0,0.03643151248989289
"Last To Stop Running Wins $20,000",You won't believe what happens to chandler!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-06 20:00:00+00:00,898,83179815,1832463,67034.0,0.022030140365183547
I Bought Everything In 5 Stores,Please subscribe this video costed so much money Buy Merch Here!! - https://shopmrbeast.com/ Beast Philanthropy ...,2021-01-09 21:01:25+00:00,854,74045114,3640655,187773.0,0.04916806529597618
"I Ate $100,000 Golden Ice Cream",I cant believe how insane that ice cream looked at the end New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2021-01-22 21:00:03+00:00,797,99700649,3496697,163287.0,0.0350719582577642
